instrument_token,tradingsymbol,name,lot_size,tick_size
3623425,UNOMINDA,UNO MINDA,1,0.1
2889473,UPL,UPL,1,0.05
194325505,URBANCO,URBAN COMPANY,1,0.01
2263041,USHAMART,USHA MARTIN,1,0.05
134913,UTIAMC,UTI ASSET MNGMT CO,1,0.05
4843777,VBL,VARUN BEVERAGES,1,0.05
784129,VEDL,VEDANTA,1,0.05
1429761,VIJAYA,VIJAYA DIAGNOSTIC CEN,1,0.1
7160065,VMM,VISHAL MEGA MART,1,0.01
951809,VOLTAS,VOLTAS,1,0.1
530689,VTL,VARDHMAN TEXTILES,1,0.05
6632193,WAAREEENER,WAAREE ENERGIES,1,0.1
3026177,WELCORP,WELSPUN CORP,1,0.1
2880769,WELSPUNLIV,WELSPUN LIVING,1,0.01
4610817,WHIRLPOOL,WHIRLPOOL OF INDIA,1,0.05
969473,WIPRO,WIPRO,1,0.01
1921537,WOCKPHARMA,WOCKHARDT,1,0.1
3050241,YESBANK,YES BANK,1,0.01
975873,ZEEL,ZEE ENTERTAINMENT ENT,1,0.01
275457,ZENSARTECH,ZENSAR TECHNOLOGIES ,1,0.05
1922049,ZENTEC,ZEN TECHNOLOGIES,1,0.1
4330241,ZFCVINDIA,ZF COM VE CTR SYS IND,1,1.0
2029825,ZYDUSLIFE,ZYDUS LIFESCIENCES,1,0.1
4514561,ZYDUSWELL,ZYDUS WELLNESS,1,0.05
